time,value
2025-05-22T14:27:40.176258996Z,571
2025-05-22T14:27:50.957347636Z,521
2025-05-22T14:28:01.583893885Z,556
2025-05-22T14:28:12.212525752Z,568
2025-05-22T14:28:22.992744106Z,554
2025-05-22T14:28:33.61973059Z,549
2025-05-22T14:28:44.25011877Z,553
2025-05-22T14:28:55.02934696Z,567
2025-05-22T14:29:05.65875188Z,548
2025-05-22T14:29:16.285824133Z,555
2025-05-22T14:29:27.064664611Z,543
2025-05-22T14:29:37.695599564Z,521
2025-05-22T14:29:48.323954181Z,563
2025-05-22T14:29:59.105607147Z,544
2025-05-22T14:30:09.732677223Z,535
2025-05-22T14:30:20.361346314Z,537
2025-05-22T14:30:31.141580095Z,543
2025-05-22T14:30:41.7689984Z,544
2025-05-22T14:30:52.395340306Z,522
2025-05-22T14:31:03.173131045Z,514
2025-05-22T14:31:13.799393718Z,540
2025-05-22T14:31:24.426642193Z,535
2025-05-22T14:31:35.205332936Z,534
2025-05-22T14:31:45.831966937Z,550
2025-05-22T14:31:56.461596034Z,530
2025-05-22T14:32:07.245533113Z,527
2025-05-22T14:32:17.874710192Z,504
2025-05-22T14:32:28.504019273Z,497
2025-05-22T14:32:39.285993042Z,495
2025-05-22T14:32:49.91409737Z,517
2025-05-22T14:33:00.540349661Z,512
2025-05-22T14:33:11.324401363Z,500
2025-05-22T14:33:21.943795109Z,546
2025-05-22T14:33:32.571955047Z,524
2025-05-22T14:33:43.350319943Z,525
2025-05-22T14:33:53.977839322Z,538
2025-05-22T14:34:04.60404896Z,514
2025-05-22T14:34:15.381388334Z,515
2025-05-22T14:34:26.00765635Z,521
2025-05-22T14:34:36.643241337Z,498
2025-05-22T14:34:47.420857834Z,490
2025-05-22T14:34:58.047938616Z,516
2025-05-22T14:35:08.676606672Z,515
2025-05-22T14:35:19.457201573Z,511
2025-05-22T14:35:30.087154818Z,509
2025-05-22T14:35:40.715681075Z,505
2025-05-22T14:35:51.494091568Z,503
2025-05-22T14:36:02.12084392Z,499
2025-05-22T14:36:12.749655688Z,484
2025-05-22T14:36:23.529940409Z,522
2025-05-22T14:36:34.157310581Z,502
2025-05-22T14:36:44.789627271Z,512
2025-05-22T14:36:55.566344726Z,495
2025-05-22T14:37:06.193842439Z,474
2025-05-22T14:37:16.81847288Z,503
2025-05-22T14:37:27.601181622Z,503
2025-05-22T14:37:38.230582388Z,506
2025-05-22T14:37:48.85829653Z,477
2025-05-22T14:37:59.638772565Z,477
2025-05-22T14:38:10.2629294Z,468
2025-05-22T14:38:20.89119334Z,477
2025-05-22T14:38:31.672559268Z,481
2025-05-22T14:38:42.299678516Z,487
2025-05-22T14:38:52.928464329Z,462
2025-05-22T14:39:03.708353093Z,476
2025-05-22T14:39:14.3357578Z,498
2025-05-22T14:39:24.967267219Z,472
2025-05-22T14:39:35.756738038Z,512
2025-05-22T14:39:46.384849297Z,491
2025-05-22T14:39:57.013361583Z,496
2025-05-22T14:40:07.792601794Z,508
2025-05-22T14:40:18.425674107Z,501
2025-05-22T14:40:29.049835554Z,505
2025-05-22T14:40:39.829604167Z,518
2025-05-22T14:40:50.456673103Z,480
2025-05-22T14:41:01.084080748Z,490
2025-05-22T14:41:11.861046546Z,487
2025-05-22T14:41:22.488718923Z,518
2025-05-22T14:41:33.115681723Z,489
2025-05-22T14:41:43.898495976Z,485
2025-05-22T14:41:54.523143523Z,498
2025-05-22T14:42:05.151760332Z,514
2025-05-22T14:42:15.929444077Z,520
2025-05-22T14:42:26.558378065Z,481
2025-05-22T14:42:37.18756103Z,505
2025-05-22T14:42:47.965582029Z,492
2025-05-22T14:42:58.593296484Z,473
2025-05-22T14:43:09.223871484Z,486
2025-05-22T14:43:20.001568501Z,493
2025-05-22T14:43:30.630794938Z,502
2025-05-22T14:43:41.276157837Z,503
2025-05-22T14:43:52.056514839Z,535
2025-05-22T14:44:02.684852168Z,488
2025-05-22T14:44:13.323028719Z,474
2025-05-22T14:44:24.092615324Z,486
2025-05-22T14:44:34.718274197Z,488
2025-05-22T14:44:45.346891083Z,470
2025-05-22T14:44:56.12585387Z,493
2025-05-22T14:45:06.754256353Z,483
2025-05-22T14:45:17.38135359Z,502
2025-05-22T14:45:28.156849191Z,477
2025-05-22T14:45:38.782523942Z,498
2025-05-22T14:45:49.409106883Z,495
2025-05-22T14:46:00.190063558Z,496
2025-05-22T14:46:10.816874182Z,475
2025-05-22T14:46:21.444970436Z,490
2025-05-22T14:46:32.225755189Z,486
2025-05-22T14:46:42.854158689Z,508
2025-05-22T14:46:53.483382589Z,493
2025-05-22T14:47:04.283853028Z,486
2025-05-22T14:47:14.911164407Z,486
2025-05-22T14:47:25.539997653Z,500
2025-05-22T14:47:36.317260491Z,481
2025-05-22T14:47:46.945547297Z,492
2025-05-22T14:47:57.573038366Z,507
2025-05-22T14:48:08.360857249Z,529
2025-05-22T14:48:18.989032935Z,509
2025-05-22T14:48:29.617040754Z,495
2025-05-22T14:48:40.396522273Z,498
2025-05-22T14:48:51.026443495Z,512
2025-05-22T14:49:01.65410985Z,517
2025-05-22T14:49:12.436413837Z,557
2025-05-22T14:49:23.064895996Z,606
2025-05-22T14:49:33.692607131Z,621
2025-05-22T14:49:44.470168906Z,669
2025-05-22T14:49:55.094320773Z,709
2025-05-22T14:50:05.72116961Z,731
2025-05-22T14:50:16.500885074Z,702
2025-05-22T14:50:27.125790697Z,654
2025-05-22T14:50:37.753641617Z,640
2025-05-22T14:50:48.52866163Z,607
2025-05-22T14:50:59.155351193Z,562
2025-05-22T14:51:09.781213822Z,545
2025-05-22T14:51:20.561069035Z,532
2025-05-22T14:51:31.190690235Z,493
2025-05-22T14:51:41.818964799Z,526
2025-05-22T14:51:52.596681937Z,543
2025-05-22T14:52:03.225570513Z,584
2025-05-22T14:52:13.852090384Z,584
2025-05-22T14:52:24.632886472Z,586
2025-05-22T14:52:35.259497478Z,668
2025-05-22T14:52:45.885752732Z,674
2025-05-22T14:52:56.660656444Z,676
2025-05-22T14:53:07.288697643Z,621
2025-05-22T14:53:17.91615761Z,659
2025-05-22T14:53:28.696638626Z,676
2025-05-22T14:53:39.323212237Z,629
2025-05-22T14:53:49.950803769Z,649
2025-05-22T14:54:00.728804122Z,659
2025-05-22T14:54:11.355453008Z,672
2025-05-22T14:54:21.981583111Z,704
2025-05-22T14:54:32.761692327Z,698
2025-05-22T14:54:43.392368392Z,660
2025-05-22T14:54:54.014477149Z,640
2025-05-22T14:55:04.792266051Z,659
2025-05-22T14:55:15.419434839Z,678
2025-05-22T14:55:26.045150439Z,698
2025-05-22T14:55:36.826840165Z,671
2025-05-22T14:55:47.452737803Z,676
2025-05-22T14:55:58.078236459Z,655
2025-05-22T14:56:08.856707047Z,654
2025-05-22T14:56:19.48115362Z,678
2025-05-22T14:56:30.106683661Z,694
2025-05-22T14:56:40.883977993Z,674
2025-05-22T14:56:51.510237269Z,690
2025-05-22T14:57:02.13618518Z,738
2025-05-22T14:57:12.913356324Z,706
2025-05-22T14:57:23.538690452Z,687
2025-05-22T14:57:34.166694085Z,704
2025-05-22T14:57:44.940780583Z,714
2025-05-22T14:57:55.566766389Z,721
2025-05-22T14:58:06.192521804Z,1171
